หมวดหมู่,ดาวเทียม/ระบบ,โหมด (Mode),รายละเอียดภาพ (Resolution),Polarization,ราคาในคลัง Standard Archive (บาท),ราคาสั่งถ่าย Standard Tasking (บาท),ราคา Single Look Complex (บาท),ราคา Path Image (บาท),ราคาการติดตาม Monitoring (บาท),ราคา New Acquisition (บาท),หน่วยราคา,หมายเหตุ
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),Pléiades NEO,,30 cm.,,880,1270,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),WorldView-4,,30 cm.,,920,1560,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),SuperView-2,,42 cm.,,700,1100,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),WorldView-1,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),WorldView-2,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),WorldView-3,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),GeoEye-1,,50 cm.,,700,1100,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),Pléiades,,50 cm.,,490,830,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),EarthScanner,,50 cm.,,400,800,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),SuperView-1,,50 cm.,,500,900,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),KOMPSAT-3,,50 cm.,,400,700,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูงมาก (30–50 ซม.),SKYSAT,,50 cm.,,300,560,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 1,250 ตร.กม. เข้าดูผ่าน API/Explorer | Tasking: โปรดติดต่อเจ้าหน้าที่"
ดาวเทียมรายละเอียดสูง (60 ซม. – 2 ม.),QuickBird,,60 cm.,,700,N/A,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูง (60 ซม. – 2 ม.),GaoFen-7,,65 cm.,,400,700,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
ดาวเทียมรายละเอียดสูง (60 ซม. – 2 ม.),Jilin,,75 cm.,,300,600,,,,,บาท/ตร.กม.,"Archive: พื้นที่สั่งขั้นต่ำ 25 ตร.กม. ราคาสำหรับ level Primary (PAN, MS, Pansharpened) | Tasking: พื้นที่สั่งขั้นต่ำ 100 ตร.กม."
